Timestamp,HeartRate
128983.919354773,79.0
129974.753454773,78.0
129974.753454773,78.0
130963.525654773,77.0
131954.010654773,76.0
132943.723254773,75.0
133933.517354773,74.0
134924.146154773,74.0
134924.146154773,74.0
135914.109454773,74.0
136904.322154773,73.0
137893.651454773,73.0
138883.566754773,73.0
139874.198554773,73.0
140863.816454773,73.0
140863.816454773,73.0
141854.128854773,72.0
142843.482154773,71.0
143833.833754773,71.0
144824.667754773,71.0
145813.444754773,71.0
146804.289254773,71.0
146804.289254773,71.0
147794.134954773,71.0
148785.428554773,71.0
149774.610554773,71.0
151754.411354773,71.0
151754.411354773,71.0
151754.411354773,71.0
152744.184954773,72.0
154230.097454773,72.0
155219.072354773,73.0
155219.072354773,73.0
156209.065054773,74.0
157199.382954773,74.0
158189.251954773,74.0
159179.090754773,73.0
160168.547354773,73.0
160168.547354773,73.0
161159.319054773,74.0
162149.600654773,74.0
163138.792954773,74.0
164130.476454773,73.0
165120.091054773,73.0
165120.091054773,73.0
166108.543454773,73.0
167098.991954773,73.0
168089.073954773,73.0
168089.073954773,73.0
169078.515554773,74.0
170069.178854773,74.0
171058.917654773,74.0
172049.708054773,74.0
173038.681654773,74.0
173038.681654773,74.0
174029.138754773,74.0
175019.216154773,73.0
176009.190854773,73.0
177989.366854773,74.0
177989.366854773,74.0
178484.161054773,74.0
178978.535954773,75.0
179968.827054773,74.0
180958.545854773,74.0
181949.119754773,73.0
182938.534954773,73.0
183929.216254773,71.0
183929.216254773,71.0
184918.563554773,71.0
185909.167954773,71.0
186898.950254773,71.0
187888.632154773,71.0
189373.900254773,71.0
189373.900254773,71.0
189871.818454773,71.0
190858.778954773,72.0
192344.663454773,73.0
192838.690454773,73.0
192838.690454773,73.0
193828.415954773,73.0
194818.440454773,74.0
195809.220354773,74.0
196799.372254773,73.0
196799.372254773,73.0
197789.351654773,74.0
198778.779454773,74.0
199769.183854773,75.0
200758.923454773,75.0
200758.923454773,75.0
201748.851954773,75.0
203233.993154773,75.0
204224.298554773,74.0
205214.178854773,74.0
205214.178854773,74.0
206203.948254773,74.0
207193.781154773,75.0
207193.781154773,75.0
208185.082154773,76.0
209173.618654773,76.0
210163.523154773,77.0
210163.523154773,77.0
211154.023754773,78.0
212144.469354773,79.0
212144.469354773,79.0
213133.946254773,79.0
214124.293054773,80.0
215113.582454773,81.0
216103.714054773,81.0
217093.772454773,80.0
217093.772454773,80.0
218083.790854773,79.0
219073.705354773,78.0
220064.162254773,78.0
220064.162254773,78.0
221548.514054773,78.0
222044.351954773,78.0
223034.070254773,79.0
223034.070254773,79.0
224023.629754773,79.0
225013.770054773,79.0
226004.325554773,78.0
226004.325554773,78.0
226994.275254773,79.0
227984.039754773,79.0
228974.197254773,79.0
229964.259954773,79.0
229964.259954773,79.0
230953.624054773,79.0
231943.525754773,78.0
232934.016854773,78.0
234419.188354773,77.0
234913.633454773,76.0
235903.862654773,74.0
235903.862654773,74.0
237388.955654773,74.0
237883.551154773,74.0
238873.757154773,74.0
239864.162454773,74.0
240853.929354773,74.0
241843.681154773,73.0
241843.681154773,73.0
242833.544154773,73.0
243823.468554773,72.0
244813.556454773,72.0
245803.786454773,71.0
246794.106354773,70.0
247784.341254773,69.0
248774.212754773,68.0
249763.304354773,68.0
250753.594154773,68.0
251743.920754773,68.0
254218.984054773,69.0
254713.198154773,69.0
254713.198154773,69.0
255208.482554773,69.0
257189.051654773,68.0
257189.051654773,67.0
258179.113254773,67.0
259168.322354773,66.0
260654.272754773,65.0
261148.454954773,64.0
262138.183254773,64.0
262138.183254773,64.0
263129.192654773,64.0
265108.747654773,64.0
265108.747654773,64.0
268078.506054773,64.0
268079.504954773,64.0
268574.140854773,64.0
269068.944154773,63.0
270059.095454773,62.0
272039.125554773,62.0
272039.125554773,62.0
273029.057854773,63.0
274019.564154773,63.0
275008.956554773,63.0
275998.779054773,63.0
276988.595954773,63.0
277979.089354773,63.0
279958.966954773,63.0
